epoch,accuracy,loss,val_accuracy,val_loss
0,0.9984018802642822,0.005476104095578194,NA,NA
1,0.9994558095932007,0.00219067488797009,NA,NA
2,0.999563455581665,0.0017360198544338346,NA,NA
3,0.9996142387390137,0.0014922221889719367,NA,NA
